61182758,5426737,5,20170815103743,08,55,51,4,0,201
59775813,5426737,4,20170425142249,04,55,51,4,0,201
69929795,5426737,4,20170221122228,02,55,51,4,0,201
5028582,5426737,3,20170901171000,09,55,51,4,0,201
51650674,5426737,4,20170804142023,08,55,51,4,0,201
85982192,5426737,5,20170615140437,06,55,51,4,0,201
87149719,5426737,5,20170605134904,06,55,51,4,0,201
86658600,5426737,5,20170201093933,02,55,51,4,0,201
67025169,5426737,5,20170124124000,01,55,51,4,0,201
91548578,5426737,4,20170118200504,01,55,51,4,0,201
37972963,5426737,5,20161110083958,11,55,51,4,0,201
45969171,5426737,3,20161022225558,10,55,51,4,0,201
1381100473,5426737,4,20161002100420,10,55,51,4,0,201
19087787,5426737,3,20160922150635,09,55,51,4,0,201
5338768,5426737,5,20160708004346,07,55,51,4,0,201
93474978,8473068,1,20161002170314,10,1,0,0,0,163
5334886,6588597,1,20170620092655,06,5,1,1,0,186
52268437,6588597,4,20161203101902,12,5,1,1,0,186
13002777,6588597,4,20141231163740,12,5,1,1,0,186
5060488,6588597,3,20140729180656,07,5,1,1,0,186
264031,6588597,5,20140306132354,03,5,1,1,0,186
81946264,882154,5,20140621123805,06,88,48,32,7,158
470344,882154,4,20140515210943,05,88,48,32,7,158
19660124,882154,4,20140513134356,05,88,48,32,7,158
49128303,882154,4,20140416232900,04,88,48,32,7,158
50863275,882154,5,20140410125136,04,88,48,32,7,158
948620,882154,4,20140408104218,04,88,48,32,7,158
41900929,882154,4,20140322214751,03,88,48,32,7,158
59380787,882154,4,20140322204050,03,88,48,32,7,158
63390766,882154,3,20140304131532,03,88,48,32,7,158
19731650,882154,2,20140216120826,02,88,48,32,7,158
71797120,882154,3,20140125202604,01,88,48,32,7,158
19191398,882154,3,20131228141839,12,88,48,32,7,158
34371327,882154,2,20131227121247,12,88,48,32,7,158
93814475,5438904,3,20170901145950,09,131,73,47,11,109
74267586,5438904,4,20170701102404,07,131,73,47,11,109
82717439,5438904,4,20170618204835,06,131,73,47,11,109
48433086,5438904,3,20170504165720,05,131,73,47,11,109
91727393,5438904,5,20170327220731,03,131,73,47,11,109
55412083,5438904,3,20161126204950,11,131,73,47,11,109
60049768,5438904,3,20161025155311,10,131,73,47,11,109
5486156,5438904,4,20160520142444,05,131,73,47,11,109
62525698,5438904,3,20160514072838,05,131,73,47,11,109
34865671,5438904,1,20160414145418,04,131,73,47,11,109
90460320,5438904,5,20160414135607,04,131,73,47,11,109
72954917,5438904,4,20160328213516,03,131,73,47,11,109
5575708,5438904,4,20160326203626,03,131,73,47,11,109
46758152,5438904,5,20160322134852,03,131,73,47,11,109
266064,5438904,3,20160317181757,03,131,73,47,11,109
85078690,10007,3,20170529111421,05,60,53,6,1,249
90401345,10007,3,20170807085923,08,60,53,6,1,249
